timestep	p0x	p0y	p0z	plx	ply	plz	ree
197800	-1.038165091	-9.363349829	4.393351323	-1.893544543	-0.1973491308	12.20415475	12.07294053
197900	-0.3159929274	-10.08578148	5.122900225	-2.077836447	-0.1203556782	11.99393258	12.23212531
198000	-0.09336419307	-10.51652546	5.076824096	-2.324671232	-0.3607060902	11.7103381	12.33381151
198100	0.06405536108	-10.59334251	5.201811971	-2.284917156	-0.70298879	11.51973553	11.96883147
198200	-0.1404600342	-10.72494975	5.658530247	-2.319718635	-1.111453957	11.30107669	11.35811603
198300	-0.6895588794	-11.51920305	5.773393624	-2.826037864	-1.421575228	10.29719531	11.26904662
198400	-1.002633269	-11.61274815	4.857824747	-2.995600231	-0.6545827664	10.2325496	12.36693063
198500	-1.613410664	-11.04721144	3.821538961	-2.57482278	-0.4305623488	10.60410936	12.63490453
198600	-1.950587833	-9.883740341	3.355259647	-2.357169802	-0.7393318783	10.14812131	11.39861766
198700	-1.830283424	-9.046468176	2.948650522	-1.71857332	-0.8814449505	9.845074223	10.68834614
198800	-1.878177307	-8.567461784	2.584031627	-1.474060233	-1.578252515	9.233048714	9.655142932
198900	-2.020827754	-8.053720202	2.329855228	-1.356522935	-2.175621958	9.031895175	8.939277338
199000	-2.262175358	-7.407268071	1.98722427	-1.027111052	-2.491742206	9.079365993	8.717009384
199100	-2.823701845	-6.797561163	1.735311227	-1.314513956	-2.717555719	8.659849485	8.177611057
199200	-3.225320638	-6.282407921	1.594694671	-1.542015663	-3.160594774	7.945660596	7.274201066
199300	-3.330226094	-5.579782176	1.412398346	-2.1882568	-3.080260746	7.243228421	6.445950714
199400	-3.858863539	-4.996692293	0.9293532332	-2.473451555	-3.074518353	7.294610525	6.791952548
199500	-4.51121118	-4.859382622	0.5843198912	-3.057710138	-2.783560263	7.242923434	7.124514362
199600	-4.41266727	-4.697043484	1.131111823	-3.028027259	-2.604645426	6.558849899	5.979606861
